Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006892~post-Golgi vesicle-mediated transport	4	25.0	1.6619901988544336E-7	SNAP23, EXOC5, SCAMP1, SCAMP2	15	16	19416	323.6	1.761694239110767E-5	1.7617096107856995E-5	1.6952300028315224E-5
GOTERM_BP_DIRECT	GO:0015031~protein transport	7	43.75	4.375148872818986E-7	VAMP8, JAGN1, SNAP23, ITSN1, EXOC5, SCAMP1, SCAMP2	15	460	19416	19.69739130434783	4.6375512823715326E-5	2.3188289025940624E-5	2.2313259251376827E-5
GOTERM_BP_DIRECT	GO:0006887~exocytosis	5	31.25	1.3688273017481041E-6	JAGN1, SNAP23, ITSN1, EXOC5, SCAMP1	15	121	19416	53.48760330578512	1.4508526740331096E-4	4.8365231328433014E-5	4.654012825943554E-5
GOTERM_BP_DIRECT	GO:0006897~endocytosis	5	31.25	7.734581043909727E-6	ITSN2, SYNRG, ITSN1, SCAMP1, RAB5A	15	187	19416	34.60962566844919	8.195327607628533E-4	2.0496639766360777E-4	1.9723181661969805E-4
GOTERM_BP_DIRECT	GO:0016197~endosomal transport	3	18.75	0.0010703334752923516	ITSN2, ITSN1, ARHGAP1	15	68	19416	57.10588235294118	0.10731018428573524	0.022691069676197852	0.02183480289596397
GOTERM_BP_DIRECT	GO:0150007~clathrin-dependent synaptic vesicle endocytosis	2	12.5	0.0021617162757113025	ITSN2, ITSN1	15	3	19416	862.9333333333334	0.20498154650018108	0.03819032087089968	0.03674917668709214
GOTERM_BP_DIRECT	GO:0051489~regulation of filopodium assembly	2	12.5	0.012905359818842568	RAB5A, ARF6	15	18	19416	143.82222222222222	0.7476332489909541	0.18669222418995957	0.17964723459788562
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	3	18.75	0.014089979184147892	VAMP8, JAGN1, ARF6	15	255	19416	15.228235294117647	0.7777960542330457	0.18669222418995957	0.17964723459788562
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	3	18.75	0.01659432648453034	SYNRG, RAB5A, ARF6	15	278	19416	13.968345323741008	0.8303057179796088	0.19544428970669067	0.18806903349134385
GOTERM_BP_DIRECT	GO:0051056~regulation of small GTPase mediated signal transduction	2	12.5	0.08183001739015998	ITSN1, ARHGAP1	15	118	19416	21.938983050847458	0.9998825514698566	0.8077871524271151	0.7773046183732617
GOTERM_BP_DIRECT	GO:0007264~small GTPase-mediated signal transduction	2	12.5	0.08382696864809684	ARHGAP1, PLD1	15	121	19416	21.39504132231405	0.999906757182719	0.8077871524271151	0.7773046183732617
