Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-199991~Membrane Trafficking	7	43.75	2.411799020814495E-6	VAMP8, ITSN2, SNAP23, ITSN1, EXOC5, RAB5A, ARF6	10	635	11153	12.294645669291338	1.9774820344220512E-4	9.350710691799106E-5	8.210380119628484E-5
REACTOME_PATHWAY	R-HSA-8856828~Clathrin-mediated endocytosis	5	31.25	3.374687003563561E-6	VAMP8, ITSN2, ITSN1, RAB5A, ARF6	10	146	11153	38.195205479452056	2.7668651644163766E-4	9.350710691799106E-5	8.210380119628484E-5
REACTOME_PATHWAY	R-HSA-5653656~Vesicle-mediated transport	7	43.75	3.4209917165118683E-6	VAMP8, ITSN2, SNAP23, ITSN1, EXOC5, RAB5A, ARF6	10	674	11153	11.583234421364985	2.804824580202592E-4	9.350710691799106E-5	8.210380119628484E-5
REACTOME_PATHWAY	R-HSA-9013148~CDC42 GTPase cycle	4	25.0	2.0798283564397259E-4	SNAP23, ITSN1, ARHGAP1, PLD1	10	155	11153	28.78193548387097	0.016911729975196077	0.004263648130701438	0.0037436910415915067
REACTOME_PATHWAY	R-HSA-9012999~RHO GTPase cycle	5	31.25	2.7792213552817207E-4	ITSN2, SNAP23, ITSN1, ARHGAP1, PLD1	10	449	11153	12.419821826280623	0.022534989423036556	0.004557923022662022	0.004002078751605678
REACTOME_PATHWAY	R-HSA-9013406~RHOQ GTPase cycle	3	18.75	9.671009057759688E-4	SNAP23, ITSN1, ARHGAP1	10	59	11153	56.71016949152542	0.07627479214355826	0.013217045712271574	0.011605210869311626
REACTOME_PATHWAY	R-HSA-9013408~RHOG GTPase cycle	3	18.75	0.0015171097073557694	ITSN1, ARHGAP1, PLD1	10	74	11153	45.21486486486486	0.11705949424691997	0.015374659152597522	0.013499700719353922
REACTOME_PATHWAY	R-HSA-194315~Signaling by Rho GTPases	5	31.25	0.001551758708591523	ITSN2, SNAP23, ITSN1, ARHGAP1, PLD1	10	706	11153	7.898725212464589	0.11956840468127661	0.015374659152597522	0.013499700719353922
REACTOME_PATHWAY	R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3	5	31.25	0.0016874625899192402	ITSN2, SNAP23, ITSN1, ARHGAP1, PLD1	10	722	11153	7.723684210526317	0.12932700822610999	0.015374659152597522	0.013499700719353922
REACTOME_PATHWAY	R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis	3	18.75	0.0030841321892286686	VAMP8, ITSN2, ITSN1	10	106	11153	31.56509433962264	0.22375697396518002	0.02528988395167508	0.022205751762446414
REACTOME_PATHWAY	R-HSA-6798695~Neutrophil degranulation	4	25.0	0.005447174059352977	VAMP8, SNAP23, SCAMP1, PLD1	10	479	11153	9.31356993736952	0.36102455253293353	0.039946078214952864	0.03507460526190983
REACTOME_PATHWAY	R-HSA-8980692~RHOA GTPase cycle	3	18.75	0.0058457675436516384	SNAP23, ARHGAP1, PLD1	10	147	11153	22.761224489795918	0.3816864055656247	0.039946078214952864	0.03507460526190983
REACTOME_PATHWAY	R-HSA-9013149~RAC1 GTPase cycle	3	18.75	0.00912509002199572	SNAP23, ARHGAP1, PLD1	10	185	11153	18.085945945945944	0.528432134247603	0.05755826013874223	0.05053896012182245
REACTOME_PATHWAY	R-HSA-9035034~RHOF GTPase cycle	2	12.5	0.03339796111178019	SNAP23, ARHGAP1	10	42	11153	53.109523809523814	0.9382961924403853	0.18811433748877093	0.16517356462428667
REACTOME_PATHWAY	R-HSA-8854214~TBC/RABGAPs	2	12.5	0.036526401750727355	RAB5A, ARF6	10	46	11153	48.491304347826095	0.9526995684935278	0.18811433748877093	0.16517356462428667
REACTOME_PATHWAY	R-HSA-162582~Signal Transduction	6	37.5	0.036705236583174816	ITSN2, SNAP23, ITSN1, ARHGAP1, PLD1, ARF6	10	2597	11153	2.576742395071236	0.9534141147944148	0.18811433748877093	0.16517356462428667
REACTOME_PATHWAY	R-HSA-9013409~RHOJ GTPase cycle	2	12.5	0.043532508651526566	SNAP23, ARHGAP1	10	55	11153	40.55636363636364	0.974000947322003	0.2099803358485399	0.18437297781823017
REACTOME_PATHWAY	R-HSA-168249~Innate Immune System	4	25.0	0.04614703894442802	VAMP8, SNAP23, SCAMP1, PLD1	10	1057	11153	4.220624408703879	0.9792280416771124	0.21022539963572764	0.1845881557777121
REACTOME_PATHWAY	R-HSA-9013026~RHOB GTPase cycle	2	12.5	0.05510876399018203	SNAP23, ARHGAP1	10	70	11153	31.865714285714287	0.9904212395727886	0.2211767117986306	0.19420394206709027
REACTOME_PATHWAY	R-HSA-1445148~Translocation of SLC2A4 (GLUT4) to the plasma membrane	2	12.5	0.056642816436234665	SNAP23, EXOC5	10	72	11153	30.980555555555558	0.9916161172881948	0.2211767117986306	0.19420394206709027
REACTOME_PATHWAY	R-HSA-199992~trans-Golgi Network Vesicle Budding	2	12.5	0.056642816436234665	VAMP8, SNAP23	10	72	11153	30.980555555555558	0.9916161172881948	0.2211767117986306	0.19420394206709027
REACTOME_PATHWAY	R-HSA-1236974~ER-Phagosome pathway	2	12.5	0.06046826637819529	VAMP8, SNAP23	10	77	11153	28.96883116883117	0.9939918719527082	0.22538172013690969	0.1978961445104573
REACTOME_PATHWAY	R-HSA-1236975~Antigen processing-Cross presentation	2	12.5	0.07186201828820926	VAMP8, SNAP23	10	92	11153	24.245652173913047	0.9977908320882414	0.2506872137775927	0.2201156023413009
